platform,endpoint,desc,top_level_calls,legacy_equivalent_calls,sync_needed,reason
"web","/api/private-letters","私信管理(7 端点)",0,2,"review","已通过等价旧路径调用(2 处),建议评估是否迁移至新顶级路径"
"web","/api/wrong-questions","错题本(3 端点)",0,3,"review","已通过等价旧路径调用(3 处),建议评估是否迁移至新顶级路径"
"web","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,2,"review","已通过等价旧路径调用(2 处),建议评估是否迁移至新顶级路径"
"web","/api/mail","邮件发送(2 端点)",0,0,"review","web 端无调用方,需评估是否需要补开发 UI 调用方(若功能在 web 端需要)"
"web","/api/auth-codes","验证码(2 端点)",0,0,"review","web 端无调用方,需评估是否需要补开发 UI 调用方(若功能在 web 端需要)"
"web","/api/exam-marking","阅卷评分(1 端点)",0,0,"review","web 端无调用方,需评估是否需要补开发 UI 调用方(若功能在 web 端需要)"
"api","/api/private-letters","私信管理(7 端点)",1,1,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"api","/api/wrong-questions","错题本(3 端点)",1,7,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"api","/api/check-in","每日签到(2 主端点 + 2 辅助)",1,0,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"api","/api/mail","邮件发送(2 端点)",1,0,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"api","/api/auth-codes","验证码(2 端点)",1,0,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"api","/api/exam-marking","阅卷评分(1 端点)",1,0,"no","API 实现端,已注册 6 个新端点(server.ts:943-954)"
"ai-service","/api/private-letters","私信管理(7 端点)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"ai-service","/api/wrong-questions","错题本(3 端点)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"ai-service","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"ai-service","/api/mail","邮件发送(2 端点)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"ai-service","/api/auth-codes","验证码(2 端点)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"ai-service","/api/exam-marking","阅卷评分(1 端点)",0,0,"no","Python 服务,不通过 HTTP 调用本仓库 API 端点"
"desktop","/api/private-letters","私信管理(7 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"desktop","/api/wrong-questions","错题本(3 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"desktop","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"desktop","/api/mail","邮件发送(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"desktop","/api/auth-codes","验证码(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"desktop","/api/exam-marking","阅卷评分(1 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):系统托盘(Tauri 原生集成);无业务需求调用本端点"
"extension","/api/private-letters","私信管理(7 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"extension","/api/wrong-questions","错题本(3 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"extension","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"extension","/api/mail","邮件发送(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"extension","/api/auth-codes","验证码(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"extension","/api/exam-marking","阅卷评分(1 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):浏览器上下文菜单(WXT);无业务需求调用本端点"
"mobile-rn","/api/private-letters","私信管理(7 端点)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"mobile-rn","/api/wrong-questions","错题本(3 端点)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"mobile-rn","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"mobile-rn","/api/mail","邮件发送(2 端点)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"mobile-rn","/api/auth-codes","验证码(2 端点)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"mobile-rn","/api/exam-marking","阅卷评分(1 端点)",0,0,"review","本端无调用方,需评估是否需要补开发(若功能在本端需要)"
"miniapp-taro","/api/private-letters","私信管理(7 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):微信支付(小程序原生);无业务需求调用本端点"
"miniapp-taro","/api/wrong-questions","错题本(3 端点)",0,1,"review","已通过等价旧路径调用(1 处),建议评估是否迁移至新顶级路径"
"miniapp-taro","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"no","平台独占豁免(AGENTS.md §9):微信支付(小程序原生);无业务需求调用本端点"
"miniapp-taro","/api/mail","邮件发送(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):微信支付(小程序原生);无业务需求调用本端点"
"miniapp-taro","/api/auth-codes","验证码(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):微信支付(小程序原生);无业务需求调用本端点"
"miniapp-taro","/api/exam-marking","阅卷评分(1 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):微信支付(小程序原生);无业务需求调用本端点"
"cli","/api/private-letters","私信管理(7 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"
"cli","/api/wrong-questions","错题本(3 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"
"cli","/api/check-in","每日签到(2 主端点 + 2 辅助)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"
"cli","/api/mail","邮件发送(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"
"cli","/api/auth-codes","验证码(2 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"
"cli","/api/exam-marking","阅卷评分(1 端点)",0,0,"no","平台独占豁免(AGENTS.md §9):终端集成(ACP/REPL);无业务需求调用本端点"

# schema 依赖统计
platform,imports_database,references_new_schema_files,assessment
"web",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
"api",340,6,"直接消费 schema(API 路由 + DB 查询)"
"ai-service",0,0,"Python 服务,通过 HTTP/SQL 间接消费,不直接 import TS schema"
"desktop",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
"extension",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
"mobile-rn",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
"miniapp-taro",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
"cli",0,0,"不直接 import @ihui/database,仅通过 API 端点间接消费"
