category,name,methods,legacyClass,decision,reason,rowCount
API,/ai-vendors/3/generate,POST,Gemini3ProPreviewController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/audio/sys,GET,AliAIController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/cloud/live/callback/templates,GET,TencentCloudLiveStreamController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/cloud/live/stream,GET,TencentCloudLiveStreamController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/cloud/live/stream/channel-id,GET,TencentCloudLiveStreamController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/generate/music,POST,SunoController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/generate/timbre,POST,AliAIController,设计风格差异,"Java /tencent /ali /suno /gemini 统一前缀 /ai-vendors,IHUI-AI 拆为 /api/ai/{vendor}/* (dashscope/suno/gemini/tencent/volcengine/coze 等)",1
API,/ai-vendors/get/digital/{param},GET,AliAIController,补开发,"AliAIController 数字人获取(/ai-vendors/get/digital/{type}),IHUI-AI 当前未实现数字人(Digital Human)功能,需补开发",1
API,/ai-vendors/video/to/digital,POST,AliAIController,补开发,"AliAIController 视频转数字人(/ai-vendors/video/to/digital),IHUI-AI 当前未实现视频转数字人功能,需补开发",1
API,/alipay/notify,POST,AliPayNotifyController,设计风格差异,"Java /alipay/notify,IHUI-AI 重构到 /payments/alipay/notify(payment-gateway.ts)",1
API,/auth_veri_codes/{param},GET/DELETE,VerificationCodesController,废弃,"验证码短期内存一次性消费,新 /api/auth-codes 模块(send + check)已覆盖,无需 admin CRUD",2
API,/auth_veri_codes/export,POST,VerificationCodesController,废弃,"验证码短期内存一次性消费,新 /api/auth-codes 模块(send + check)已覆盖,无需 admin CRUD",1
API,/auth_veri_codes/list,GET,VerificationCodesController,废弃,"验证码短期内存一次性消费,新 /api/auth-codes 模块(send + check)已覆盖,无需 admin CRUD",1
API,/auth-sso/admin/create,POST,SsoController,设计风格差异,"Java /auth-sso/admin/login /member/login /uuid/login 多入口,IHUI-AI 统一到 /sso/code (auth-sso.ts 单 SSO 端点设计)",1
API,/auth-sso/admin/login,POST,SsoController,设计风格差异,"Java /auth-sso/admin/login /member/login /uuid/login 多入口,IHUI-AI 统一到 /sso/code (auth-sso.ts 单 SSO 端点设计)",1
API,/auth-sso/member/create,POST,SsoController,设计风格差异,"Java /auth-sso/admin/login /member/login /uuid/login 多入口,IHUI-AI 统一到 /sso/code (auth-sso.ts 单 SSO 端点设计)",1
API,/auth-sso/member/login,POST,SsoController,设计风格差异,"Java /auth-sso/admin/login /member/login /uuid/login 多入口,IHUI-AI 统一到 /sso/code (auth-sso.ts 单 SSO 端点设计)",1
API,/auth-sso/uuid/login,POST,SsoController,设计风格差异,"Java /auth-sso/admin/login /member/login /uuid/login 多入口,IHUI-AI 统一到 /sso/code (auth-sso.ts 单 SSO 端点设计)",1
API,/base64/{param}/{param}/{param},POST,OssController,废弃,"Base64 上传已被 /api/upload + /api/files 完整覆盖,Java OSS /base64 路径无需补",1
API,/bot/sites/kind,GET,AiBotSitesController,废弃,"AiBotSites 旧 AI 站点业务已下线,不在 IHUI-AI 产品路线",1
API,/buy/{param},DELETE,ZhsAgentBuyController,设计风格差异,"Java /zhs_agent_buy,IHUI-AI 用 /buy(zhs 前缀剥离)",2
API,/buy/expired,GET,ZhsAgentBuyController,设计风格差异,"Java /zhs_agent_buy,IHUI-AI 用 /buy(zhs 前缀剥离)",1
API,/buy/export,POST,ZhsAgentBuyController,设计风格差异,"Java /zhs_agent_buy,IHUI-AI 用 /buy(zhs 前缀剥离)",1
API,/buy/unsettled,GET,ZhsAgentBuyController,设计风格差异,"Java /zhs_agent_buy,IHUI-AI 用 /buy(zhs 前缀剥离)",1
API,/buy/user/{param}/agent/{param},GET,ZhsAgentBuyController,设计风格差异,"Java /zhs_agent_buy,IHUI-AI 用 /buy(zhs 前缀剥离)",1
API,/by-id,GET,MemberController,设计风格差异,"Java 用 /by-id,IHUI-AI 用 /members/:id RESTful 路径",1
API,/by-ids,GET,MemberController,设计风格差异,"Java 用 /by-ids,IHUI-AI 用 /members?ids= 批量查询",1
API,/by-mobile,GET,MemberController,设计风格差异,"Java 用查询动作为首段(/by-mobile),IHUI-AI 用 RESTful /members?mobile= 查询",1
API,/certificate-template,POST/PUT/GET/DELETE,CertificateTemplateController,废弃,"证书模板独立 CRUD 已废弃,字段已并入 /learn(certificateTemplateId 引用)+ /certificates 模块",5
API,/certificate-template/active,PUT,CertificateTemplateController,废弃,"证书模板独立 CRUD 已废弃,字段已并入 /learn(certificateTemplateId 引用)+ /certificates 模块",1
API,/certificate-template/inactive,PUT,CertificateTemplateController,废弃,"证书模板独立 CRUD 已废弃,字段已并入 /learn(certificateTemplateId 引用)+ /certificates 模块",1
API,/certificate-template/list,GET,CertificateTemplateController,废弃,"证书模板独立 CRUD 已废弃,字段已并入 /learn(certificateTemplateId 引用)+ /certificates 模块",1
API,/chat-audio/{param},GET/DELETE,ZhsUserAgentAudioController,设计风格差异,"Java /userAgentAudio,IHUI-AI 用 /chat-audio(语义化命名)",2
API,/chat-audio/export,POST,ZhsUserAgentAudioController,设计风格差异,"Java /userAgentAudio,IHUI-AI 用 /chat-audio(语义化命名)",1
API,/chat-audio/list,GET,ZhsUserAgentAudioController,设计风格差异,"Java /userAgentAudio,IHUI-AI 用 /chat-audio(语义化命名)",1
API,/chunked-upload/joint,POST,SysFileController,设计风格差异,"Java /uploadChunkedFile,IHUI-AI 用 /chunked-upload(命名规范化)",1
API,/chunked-upload/pc,POST,SysFileController,设计风格差异,"Java /uploadChunkedFile,IHUI-AI 用 /chunked-upload(命名规范化)",1
API,/codebase/{param},GET/DELETE,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",2
API,/codebase/batchGenCode,GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/column/{param},GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/db/list,GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/download/{param},GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/genCode/{param},GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/importTable,POST,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/list,GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/preview/{param},GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/codebase/synchDb/{param},GET,GenController,废弃,"RuoYi 代码生成器为 Java 专用,IHUI-AI 用 OpenAPI 自动生成 + CLI 脚本,无需迁移",1
API,/content/type,GET,ContentController,设计风格差异,"Java /content/type,IHUI-AI 用 /content 模块(content.ts 承载)",1
API,/createbywechatuserinfo,POST,MemberController,设计风格差异,"Java 用 /createbywechatuserinfo,IHUI-AI 用 /members/register + OAuth 微信登录",1
API,/current-member/comment/list,GET,CommentController,设计风格差异,"Java /current-member/comment/list,IHUI-AI 用 /comments?userId=me",1
API,/ding-talk/config,GET,DingTalkController,废弃,"钉钉公开接口仅在 services/oauth-providers.ts 保留配置,无产品需求暴露公开端点",1
API,/ding-talk/user/by-code,GET,DingTalkController,废弃,"钉钉公开接口仅在 services/oauth-providers.ts 保留配置,无产品需求暴露公开端点",1
API,/feedbacks/{param},DELETE,AiUserFeedbackController,设计风格差异,"Java /userFeedback /jianyi,IHUI-AI 统一用 /feedbacks",1
API,/feedbacks/export,POST,AiUserFeedbackController,设计风格差异,"Java /userFeedback /jianyi,IHUI-AI 统一用 /feedbacks",1
API,/feedbacks/list,GET,AiUserFeedbackController,设计风格差异,"Java /userFeedback /jianyi,IHUI-AI 统一用 /feedbacks",1
